"Date","Price","Open","High","Low","Change %"
"Nov 16, 1998","4.5740","4.5740","4.5740","4.5740","1.15%"
"Nov 13, 1998","4.5220","4.5220","4.5220","4.5220","1.16%"
"Nov 12, 1998","4.4700","4.4700","4.4700","4.4700","-1.84%"
"Nov 11, 1998","4.5540","4.5540","4.5540","4.5540","0.75%"
"Nov 10, 1998","4.5200","4.5200","4.5200","4.5200","-1.07%"
"Nov 09, 1998","4.5690","4.5690","4.5690","4.5690","-0.35%"
"Nov 06, 1998","4.5850","4.5850","4.5850","4.5850","1.53%"
"Nov 05, 1998","4.5160","4.5160","4.5160","4.5160","1.53%"
"Nov 04, 1998","4.4480","4.4480","4.4480","4.4480","4.71%"
"Nov 03, 1998","4.2480","4.2480","4.2480","4.2480","-0.77%"
"Nov 02, 1998","4.2810","4.2810","4.2810","4.2810","4.03%"
"Oct 30, 1998","4.1150","4.1150","4.1150","4.1150","2.87%"
"Oct 29, 1998","4.0000","4.0000","4.0000","4.0000","-2.56%"
"Oct 28, 1998","4.1050","4.1050","4.1050","4.1050","-0.02%"
"Oct 27, 1998","4.1060","4.1060","4.1060","4.1060","-2.42%"
"Oct 26, 1998","4.2080","4.2080","4.2080","4.2080","0.79%"
"Oct 23, 1998","4.1750","4.1750","4.1750","4.1750","0.77%"
"Oct 22, 1998","4.1430","4.1430","4.1430","4.1430","1.64%"
"Oct 21, 1998","4.0760","4.0760","4.0760","4.0760","2.10%"
"Oct 20, 1998","3.9920","3.9920","3.9920","3.9920","2.12%"
"Oct 19, 1998","3.9090","3.9090","3.9090","3.9090","0.39%"
"Oct 16, 1998","3.8940","3.8940","3.8940","3.8940","1.25%"
"Oct 15, 1998","3.8460","3.8460","3.8460","3.8460","-6.13%"
"Oct 14, 1998","4.0970","4.0970","4.0970","4.0970","-0.82%"
"Oct 13, 1998","4.1310","4.1310","4.1310","4.1310","-1.99%"
"Oct 09, 1998","4.2150","4.2150","4.2150","4.2150","1.98%"
"Oct 08, 1998","4.1330","4.1330","4.1330","4.1330","-0.02%"
"Oct 07, 1998","4.1340","4.1340","4.1340","4.1340","1.62%"
"Oct 06, 1998","4.0680","4.0680","4.0680","4.0680","0.79%"
"Oct 05, 1998","4.0360","4.0360","4.0360","4.0360","-3.95%"
"Oct 02, 1998","4.2020","4.2020","4.2020","4.2020","1.16%"
"Oct 01, 1998","4.1540","4.1540","4.1540","4.1540","-3.44%"
"Sep 30, 1998","4.3020","4.3020","4.3020","4.3020","-3.33%"
"Sep 29, 1998","4.4500","4.4500","4.4500","4.4500","0.36%"
"Sep 28, 1998","4.4340","4.4340","4.4340","4.4340","0.36%"
"Sep 25, 1998","4.4180","4.4180","4.4180","4.4180","-0.72%"
"Sep 24, 1998","4.4500","4.4500","4.4500","4.4500","-2.77%"
"Sep 23, 1998","4.5770","4.5770","4.5770","4.5770","-1.49%"
"Sep 22, 1998","4.6460","4.6460","4.6460","4.6460","0.37%"
"Sep 21, 1998","4.6290","4.6290","4.6290","4.6290","-0.02%"
"Sep 18, 1998","4.6300","4.6300","4.6300","4.6300","-0.77%"
"Sep 17, 1998","4.6660","4.6660","4.6660","4.6660","-1.79%"
"Sep 16, 1998","4.7510","4.7510","4.7510","4.7510","0.34%"
"Sep 15, 1998","4.7350","4.7350","4.7350","4.7350","0.70%"
"Sep 14, 1998","4.7020","4.7020","4.7020","4.7020","0.36%"
"Sep 11, 1998","4.6850","4.6850","4.6850","4.6850","1.38%"
"Sep 10, 1998","4.6210","4.6210","4.6210","4.6210","-2.82%"
"Sep 09, 1998","4.7550","4.7550","4.7550","4.7550","-3.41%"
"Sep 08, 1998","4.9230","4.9230","4.9230","4.9230","-0.34%"
"Sep 04, 1998","4.9400","4.9400","4.9400","4.9400","0.65%"
"Sep 03, 1998","4.9080","4.9080","4.9080","4.9080","-0.67%"
"Sep 02, 1998","4.9410","4.9410","4.9410","4.9410","1.35%"
"Sep 01, 1998","4.8750","4.8750","4.8750","4.8750","-0.02%"
"Aug 31, 1998","4.8760","4.8760","4.8760","4.8760","-0.67%"
"Aug 28, 1998","4.9090","4.9090","4.9090","4.9090","-0.35%"
"Aug 27, 1998","4.9260","4.9260","4.9260","4.9260","0.67%"
"Aug 26, 1998","4.8930","4.8930","4.8930","4.8930","-5.28%"
"Aug 25, 1998","5.1660","5.1660","5.1660","5.1660","-0.67%"
"Aug 24, 1998","5.2010","5.2010","5.2010","5.2010","-0.33%"
"Aug 21, 1998","5.2180","5.2180","5.2180","5.2180","-1.95%"
"Aug 20, 1998","5.3220","5.3220","5.3220","5.3220","-0.32%"
"Aug 19, 1998","5.3390","5.3390","5.3390","5.3390","0.00%"
"Aug 18, 1998","5.3390","5.3390","5.3390","5.3390","0.32%"
"Aug 17, 1998","5.3220","5.3220","5.3220","5.3220","0.00%"
"Aug 14, 1998","5.3220","5.3220","5.3220","5.3220","-0.97%"
"Aug 13, 1998","5.3740","5.3740","5.3740","5.3740","1.28%"
